firm_name,ticker,quarter,quarter_str,total_patents,ai_patents,ai_share
"Cadence Design Systems, Inc.",CDNS,2021Q2,2021Q2,38,21,0.5526315789473685
"Cadence Design Systems, Inc.",CDNS,2021Q3,2021Q3,16,10,0.625
"Cadence Design Systems, Inc.",CDNS,2021Q4,2021Q4,16,7,0.4375
"Cadence Design Systems, Inc.",CDNS,2022Q1,2022Q1,18,7,0.3888888888888889
"Cadence Design Systems, Inc.",CDNS,2022Q2,2022Q2,23,14,0.6086956521739131
"Cadence Design Systems, Inc.",CDNS,2022Q3,2022Q3,19,8,0.42105263157894735
"Cadence Design Systems, Inc.",CDNS,2022Q4,2022Q4,30,19,0.6333333333333333
"Cadence Design Systems, Inc.",CDNS,2023Q1,2023Q1,17,7,0.4117647058823529
"Cadence Design Systems, Inc.",CDNS,2023Q2,2023Q2,21,12,0.5714285714285714
"Cadence Design Systems, Inc.",CDNS,2023Q3,2023Q3,12,4,0.3333333333333333
"Cadence Design Systems, Inc.",CDNS,2023Q4,2023Q4,22,4,0.18181818181818182
Caterpillar Inc.,CAT,2016Q1,2016Q1,95,11,0.11578947368421053
Caterpillar Inc.,CAT,2016Q2,2016Q2,78,11,0.14102564102564102
Caterpillar Inc.,CAT,2016Q3,2016Q3,89,3,0.033707865168539325
Caterpillar Inc.,CAT,2016Q4,2016Q4,96,10,0.10416666666666667
Caterpillar Inc.,CAT,2017Q1,2017Q1,105,7,0.06666666666666667
Caterpillar Inc.,CAT,2017Q2,2017Q2,118,16,0.13559322033898305
Caterpillar Inc.,CAT,2017Q3,2017Q3,90,10,0.1111111111111111
Caterpillar Inc.,CAT,2017Q4,2017Q4,94,17,0.18085106382978725
Caterpillar Inc.,CAT,2018Q1,2018Q1,92,9,0.09782608695652174
Caterpillar Inc.,CAT,2018Q2,2018Q2,101,11,0.10891089108910891
Caterpillar Inc.,CAT,2018Q3,2018Q3,113,11,0.09734513274336283
Caterpillar Inc.,CAT,2018Q4,2018Q4,73,17,0.2328767123287671
Caterpillar Inc.,CAT,2019Q1,2019Q1,83,8,0.0963855421686747
Caterpillar Inc.,CAT,2019Q2,2019Q2,100,15,0.15
Caterpillar Inc.,CAT,2019Q3,2019Q3,94,13,0.13829787234042554
Caterpillar Inc.,CAT,2019Q4,2019Q4,76,16,0.21052631578947367
Caterpillar Inc.,CAT,2020Q1,2020Q1,68,8,0.11764705882352941
Caterpillar Inc.,CAT,2020Q2,2020Q2,62,10,0.16129032258064516
Caterpillar Inc.,CAT,2020Q3,2020Q3,66,13,0.19696969696969696
Caterpillar Inc.,CAT,2020Q4,2020Q4,75,14,0.18666666666666668
Caterpillar Inc.,CAT,2021Q1,2021Q1,84,9,0.10714285714285714
Caterpillar Inc.,CAT,2021Q2,2021Q2,83,12,0.14457831325301204
Caterpillar Inc.,CAT,2021Q3,2021Q3,85,13,0.15294117647058825
Caterpillar Inc.,CAT,2021Q4,2021Q4,68,14,0.20588235294117646
Caterpillar Inc.,CAT,2022Q1,2022Q1,74,14,0.1891891891891892
Caterpillar Inc.,CAT,2022Q2,2022Q2,74,9,0.12162162162162163
Caterpillar Inc.,CAT,2022Q3,2022Q3,80,13,0.1625
Caterpillar Inc.,CAT,2022Q4,2022Q4,98,13,0.1326530612244898
Caterpillar Inc.,CAT,2023Q1,2023Q1,98,14,0.14285714285714285
Caterpillar Inc.,CAT,2023Q2,2023Q2,71,10,0.14084507042253522
Caterpillar Inc.,CAT,2023Q3,2023Q3,86,14,0.16279069767441862
Caterpillar Inc.,CAT,2023Q4,2023Q4,65,14,0.2153846153846154
Cellco Partnership,VZ,2016Q1,2016Q1,43,18,0.4186046511627907
Cellco Partnership,VZ,2016Q2,2016Q2,38,11,0.2894736842105263
Cellco Partnership,VZ,2016Q3,2016Q3,34,17,0.5
Cellco Partnership,VZ,2016Q4,2016Q4,24,10,0.4166666666666667
Cellco Partnership,VZ,2017Q1,2017Q1,28,11,0.39285714285714285
Cellco Partnership,VZ,2017Q2,2017Q2,22,11,0.5
Cellco Partnership,VZ,2017Q3,2017Q3,17,6,0.35294117647058826
Cellco Partnership,VZ,2017Q4,2017Q4,11,6,0.5454545454545454
Cellco Partnership,VZ,2018Q1,2018Q1,7,3,0.42857142857142855
Cellco Partnership,VZ,2018Q2,2018Q2,8,2,0.25
Cellco Partnership,VZ,2018Q3,2018Q3,8,4,0.5
Cellco Partnership,VZ,2018Q4,2018Q4,6,1,0.16666666666666666
Cellco Partnership,VZ,2019Q1,2019Q1,5,4,0.8
Cellco Partnership,VZ,2019Q2,2019Q2,3,3,1.0
Cellco Partnership,VZ,2019Q3,2019Q3,5,4,0.8
Cellco Partnership,VZ,2019Q4,2019Q4,2,2,1.0
Cellco Partnership,VZ,2020Q2,2020Q2,2,1,0.5
Cellco Partnership,VZ,2020Q3,2020Q3,2,0,0.0
Cellco Partnership,VZ,2020Q4,2020Q4,1,1,1.0
Cellco Partnership,VZ,2021Q3,2021Q3,1,0,0.0
"Charter Communications Operating, LLC",CHTR,2016Q1,2016Q1,1,0,0.0
"Charter Communications Operating, LLC",CHTR,2016Q3,2016Q3,1,0,0.0
"Charter Communications Operating, LLC",CHTR,2016Q4,2016Q4,1,1,1.0
"Charter Communications Operating, LLC",CHTR,2017Q2,2017Q2,3,0,0.0
"Charter Communications Operating, LLC",CHTR,2017Q3,2017Q3,2,2,1.0
"Charter Communications Operating, LLC",CHTR,2017Q4,2017Q4,2,1,0.5
"Charter Communications Operating, LLC",CHTR,2018Q1,2018Q1,1,0,0.0
"Charter Communications Operating, LLC",CHTR,2018Q2,2018Q2,1,0,0.0
"Charter Communications Operating, LLC",CHTR,2018Q3,2018Q3,2,0,0.0
"Charter Communications Operating, LLC",CHTR,2018Q4,2018Q4,3,0,0.0
"Charter Communications Operating, LLC",CHTR,2019Q2,2019Q2,6,3,0.5
"Charter Communications Operating, LLC",CHTR,2019Q3,2019Q3,8,2,0.25
"Charter Communications Operating, LLC",CHTR,2019Q4,2019Q4,8,4,0.5
"Charter Communications Operating, LLC",CHTR,2020Q1,2020Q1,11,1,0.09090909090909091
"Charter Communications Operating, LLC",CHTR,2020Q2,2020Q2,21,5,0.23809523809523808
"Charter Communications Operating, LLC",CHTR,2020Q3,2020Q3,12,0,0.0
"Charter Communications Operating, LLC",CHTR,2020Q4,2020Q4,20,5,0.25
"Charter Communications Operating, LLC",CHTR,2021Q1,2021Q1,26,6,0.23076923076923078
"Charter Communications Operating, LLC",CHTR,2021Q2,2021Q2,36,8,0.2222222222222222
"Charter Communications Operating, LLC",CHTR,2021Q3,2021Q3,32,7,0.21875
"Charter Communications Operating, LLC",CHTR,2021Q4,2021Q4,31,11,0.3548387096774194
"Charter Communications Operating, LLC",CHTR,2022Q1,2022Q1,27,5,0.18518518518518517
"Charter Communications Operating, LLC",CHTR,2022Q2,2022Q2,49,14,0.2857142857142857
"Charter Communications Operating, LLC",CHTR,2022Q3,2022Q3,40,7,0.175
"Charter Communications Operating, LLC",CHTR,2022Q4,2022Q4,42,10,0.23809523809523808
"Charter Communications Operating, LLC",CHTR,2023Q1,2023Q1,46,9,0.1956521739130435
"Charter Communications Operating, LLC",CHTR,2023Q2,2023Q2,55,9,0.16363636363636364
"Charter Communications Operating, LLC",CHTR,2023Q3,2023Q3,48,5,0.10416666666666667
"Charter Communications Operating, LLC",CHTR,2023Q4,2023Q4,50,10,0.2
Chicago Mercantile Exchange Inc.,CME,2016Q1,2016Q1,1,1,1.0
Chicago Mercantile Exchange Inc.,CME,2016Q2,2016Q2,5,1,0.2
Chicago Mercantile Exchange Inc.,CME,2016Q3,2016Q3,1,0,0.0
Chicago Mercantile Exchange Inc.,CME,2016Q4,2016Q4,3,1,0.3333333333333333
Chicago Mercantile Exchange Inc.,CME,2017Q1,2017Q1,1,0,0.0
Chicago Mercantile Exchange Inc.,CME,2017Q2,2017Q2,6,3,0.5
Chicago Mercantile Exchange Inc.,CME,2017Q3,2017Q3,3,2,0.6666666666666666
Chicago Mercantile Exchange Inc.,CME,2017Q4,2017Q4,4,4,1.0
Chicago Mercantile Exchange Inc.,CME,2018Q1,2018Q1,4,3,0.75
Chicago Mercantile Exchange Inc.,CME,2018Q2,2018Q2,3,2,0.6666666666666666
Chicago Mercantile Exchange Inc.,CME,2018Q3,2018Q3,9,8,0.8888888888888888
Chicago Mercantile Exchange Inc.,CME,2018Q4,2018Q4,7,4,0.5714285714285714
Chicago Mercantile Exchange Inc.,CME,2019Q1,2019Q1,4,2,0.5
Chicago Mercantile Exchange Inc.,CME,2019Q2,2019Q2,7,7,1.0
Chicago Mercantile Exchange Inc.,CME,2019Q3,2019Q3,18,14,0.7777777777777778
Chicago Mercantile Exchange Inc.,CME,2019Q4,2019Q4,17,14,0.8235294117647058
Chicago Mercantile Exchange Inc.,CME,2020Q1,2020Q1,13,10,0.7692307692307693
Chicago Mercantile Exchange Inc.,CME,2020Q2,2020Q2,20,12,0.6
Chicago Mercantile Exchange Inc.,CME,2020Q3,2020Q3,14,11,0.7857142857142857
Chicago Mercantile Exchange Inc.,CME,2020Q4,2020Q4,17,15,0.8823529411764706
Chicago Mercantile Exchange Inc.,CME,2021Q1,2021Q1,8,3,0.375
Chicago Mercantile Exchange Inc.,CME,2021Q2,2021Q2,24,19,0.7916666666666666
Chicago Mercantile Exchange Inc.,CME,2021Q3,2021Q3,8,8,1.0
Chicago Mercantile Exchange Inc.,CME,2021Q4,2021Q4,12,8,0.6666666666666666
Chicago Mercantile Exchange Inc.,CME,2022Q1,2022Q1,19,12,0.631578947368421
Chicago Mercantile Exchange Inc.,CME,2022Q2,2022Q2,16,11,0.6875
Chicago Mercantile Exchange Inc.,CME,2022Q3,2022Q3,15,10,0.6666666666666666
Chicago Mercantile Exchange Inc.,CME,2022Q4,2022Q4,21,16,0.7619047619047619
Chicago Mercantile Exchange Inc.,CME,2023Q1,2023Q1,14,10,0.7142857142857143
Chicago Mercantile Exchange Inc.,CME,2023Q2,2023Q2,21,18,0.8571428571428571
Chicago Mercantile Exchange Inc.,CME,2023Q3,2023Q3,14,12,0.8571428571428571
Chicago Mercantile Exchange Inc.,CME,2023Q4,2023Q4,22,14,0.6363636363636364
Ciena Corporation,CIEN,2016Q1,2016Q1,17,0,0.0
Ciena Corporation,CIEN,2016Q2,2016Q2,16,2,0.125
Ciena Corporation,CIEN,2016Q3,2016Q3,15,0,0.0
Ciena Corporation,CIEN,2016Q4,2016Q4,36,3,0.08333333333333333
Ciena Corporation,CIEN,2017Q1,2017Q1,25,3,0.12
Ciena Corporation,CIEN,2017Q2,2017Q2,22,5,0.22727272727272727
Ciena Corporation,CIEN,2017Q3,2017Q3,24,0,0.0
Ciena Corporation,CIEN,2017Q4,2017Q4,56,8,0.14285714285714285
Ciena Corporation,CIEN,2018Q1,2018Q1,20,5,0.25
Ciena Corporation,CIEN,2018Q2,2018Q2,15,2,0.13333333333333333
Ciena Corporation,CIEN,2018Q3,2018Q3,30,2,0.06666666666666667
Ciena Corporation,CIEN,2018Q4,2018Q4,33,5,0.15151515151515152
Ciena Corporation,CIEN,2019Q1,2019Q1,35,7,0.2
Ciena Corporation,CIEN,2019Q2,2019Q2,30,3,0.1
Ciena Corporation,CIEN,2019Q3,2019Q3,32,3,0.09375
Ciena Corporation,CIEN,2019Q4,2019Q4,26,5,0.19230769230769232
Ciena Corporation,CIEN,2020Q1,2020Q1,18,1,0.05555555555555555
Ciena Corporation,CIEN,2020Q2,2020Q2,23,2,0.08695652173913043
Ciena Corporation,CIEN,2020Q3,2020Q3,31,7,0.22580645161290322
Ciena Corporation,CIEN,2020Q4,2020Q4,41,5,0.12195121951219512
Ciena Corporation,CIEN,2021Q1,2021Q1,26,5,0.19230769230769232
Ciena Corporation,CIEN,2021Q2,2021Q2,23,4,0.17391304347826086
Ciena Corporation,CIEN,2021Q3,2021Q3,32,11,0.34375
Ciena Corporation,CIEN,2021Q4,2021Q4,25,3,0.12
Ciena Corporation,CIEN,2022Q1,2022Q1,32,4,0.125
Ciena Corporation,CIEN,2022Q2,2022Q2,24,10,0.4166666666666667
Ciena Corporation,CIEN,2022Q3,2022Q3,23,4,0.17391304347826086
Ciena Corporation,CIEN,2022Q4,2022Q4,38,10,0.2631578947368421
Ciena Corporation,CIEN,2023Q1,2023Q1,27,5,0.18518518518518517
Ciena Corporation,CIEN,2023Q2,2023Q2,25,4,0.16
Ciena Corporation,CIEN,2023Q3,2023Q3,32,6,0.1875
Ciena Corporation,CIEN,2023Q4,2023Q4,34,6,0.17647058823529413
"Cisco Technology, Inc.",CSCO,2016Q1,2016Q1,267,74,0.27715355805243447
"Cisco Technology, Inc.",CSCO,2016Q2,2016Q2,259,63,0.24324324324324326
"Cisco Technology, Inc.",CSCO,2016Q3,2016Q3,234,62,0.26495726495726496
"Cisco Technology, Inc.",CSCO,2016Q4,2016Q4,209,48,0.22966507177033493
"Cisco Technology, Inc.",CSCO,2017Q1,2017Q1,221,67,0.3031674208144796
"Cisco Technology, Inc.",CSCO,2017Q2,2017Q2,267,83,0.31086142322097376
"Cisco Technology, Inc.",CSCO,2017Q3,2017Q3,236,76,0.3220338983050847
"Cisco Technology, Inc.",CSCO,2017Q4,2017Q4,240,68,0.2833333333333333
"Cisco Technology, Inc.",CSCO,2018Q1,2018Q1,198,64,0.32323232323232326
"Cisco Technology, Inc.",CSCO,2018Q2,2018Q2,230,76,0.33043478260869563
"Cisco Technology, Inc.",CSCO,2018Q3,2018Q3,183,77,0.4207650273224044
"Cisco Technology, Inc.",CSCO,2018Q4,2018Q4,232,76,0.3275862068965517
"Cisco Technology, Inc.",CSCO,2019Q1,2019Q1,247,87,0.3522267206477733
"Cisco Technology, Inc.",CSCO,2019Q2,2019Q2,245,95,0.3877551020408163
"Cisco Technology, Inc.",CSCO,2019Q3,2019Q3,252,104,0.4126984126984127
"Cisco Technology, Inc.",CSCO,2019Q4,2019Q4,304,109,0.35855263157894735
"Cisco Technology, Inc.",CSCO,2020Q1,2020Q1,264,107,0.4053030303030303
"Cisco Technology, Inc.",CSCO,2020Q2,2020Q2,245,104,0.42448979591836733
"Cisco Technology, Inc.",CSCO,2020Q3,2020Q3,292,114,0.3904109589041096
"Cisco Technology, Inc.",CSCO,2020Q4,2020Q4,260,92,0.35384615384615387
"Cisco Technology, Inc.",CSCO,2021Q1,2021Q1,291,120,0.41237113402061853
"Cisco Technology, Inc.",CSCO,2021Q2,2021Q2,232,91,0.3922413793103448
"Cisco Technology, Inc.",CSCO,2021Q3,2021Q3,241,98,0.4066390041493776
"Cisco Technology, Inc.",CSCO,2021Q4,2021Q4,198,87,0.4393939393939394
"Cisco Technology, Inc.",CSCO,2022Q1,2022Q1,234,78,0.3333333333333333
"Cisco Technology, Inc.",CSCO,2022Q2,2022Q2,209,74,0.35406698564593303
"Cisco Technology, Inc.",CSCO,2022Q3,2022Q3,252,103,0.4087301587301587
"Cisco Technology, Inc.",CSCO,2022Q4,2022Q4,228,90,0.39473684210526316
"Cisco Technology, Inc.",CSCO,2023Q1,2023Q1,223,82,0.36771300448430494
"Cisco Technology, Inc.",CSCO,2023Q2,2023Q2,205,67,0.32682926829268294
"Cisco Technology, Inc.",CSCO,2023Q3,2023Q3,236,87,0.3686440677966102
"Cisco Technology, Inc.",CSCO,2023Q4,2023Q4,251,87,0.3466135458167331
Cognex Corporation,CGNX,2016Q1,2016Q1,13,12,0.9230769230769231
Cognex Corporation,CGNX,2016Q2,2016Q2,8,6,0.75
Cognex Corporation,CGNX,2016Q3,2016Q3,6,6,1.0
Cognex Corporation,CGNX,2016Q4,2016Q4,4,2,0.5
Cognex Corporation,CGNX,2017Q1,2017Q1,14,10,0.7142857142857143
Cognex Corporation,CGNX,2017Q2,2017Q2,6,6,1.0
Cognex Corporation,CGNX,2017Q3,2017Q3,11,8,0.7272727272727273
Cognex Corporation,CGNX,2017Q4,2017Q4,5,4,0.8
Cognex Corporation,CGNX,2018Q1,2018Q1,8,6,0.75
Cognex Corporation,CGNX,2018Q2,2018Q2,7,4,0.5714285714285714
Cognex Corporation,CGNX,2018Q3,2018Q3,11,8,0.7272727272727273
Cognex Corporation,CGNX,2018Q4,2018Q4,10,9,0.9
Cognex Corporation,CGNX,2019Q1,2019Q1,6,4,0.6666666666666666
Cognex Corporation,CGNX,2019Q2,2019Q2,8,8,1.0
Cognex Corporation,CGNX,2019Q3,2019Q3,7,6,0.8571428571428571
Cognex Corporation,CGNX,2019Q4,2019Q4,12,9,0.75
Cognex Corporation,CGNX,2020Q1,2020Q1,5,5,1.0
Cognex Corporation,CGNX,2020Q2,2020Q2,14,11,0.7857142857142857
Cognex Corporation,CGNX,2020Q3,2020Q3,13,8,0.6153846153846154
Cognex Corporation,CGNX,2020Q4,2020Q4,11,9,0.8181818181818182
Cognex Corporation,CGNX,2021Q1,2021Q1,7,7,1.0
Cognex Corporation,CGNX,2021Q2,2021Q2,10,6,0.6
Cognex Corporation,CGNX,2021Q3,2021Q3,14,10,0.7142857142857143
Cognex Corporation,CGNX,2021Q4,2021Q4,6,5,0.8333333333333334
Cognex Corporation,CGNX,2022Q1,2022Q1,8,7,0.875
Cognex Corporation,CGNX,2022Q2,2022Q2,8,4,0.5
Cognex Corporation,CGNX,2022Q3,2022Q3,7,5,0.7142857142857143
Cognex Corporation,CGNX,2022Q4,2022Q4,8,5,0.625
Cognex Corporation,CGNX,2023Q1,2023Q1,12,9,0.75
Cognex Corporation,CGNX,2023Q2,2023Q2,10,4,0.4
Cognex Corporation,CGNX,2023Q3,2023Q3,8,6,0.75
Cognex Corporation,CGNX,2023Q4,2023Q4,8,8,1.0
"Commvault Systems, Inc.",CVLT,2016Q1,2016Q1,23,11,0.4782608695652174
"Commvault Systems, Inc.",CVLT,2016Q2,2016Q2,9,4,0.4444444444444444
"Commvault Systems, Inc.",CVLT,2016Q3,2016Q3,20,12,0.6
"Commvault Systems, Inc.",CVLT,2016Q4,2016Q4,21,7,0.3333333333333333
"Commvault Systems, Inc.",CVLT,2017Q1,2017Q1,14,10,0.7142857142857143
"Commvault Systems, Inc.",CVLT,2017Q2,2017Q2,37,18,0.4864864864864865
"Commvault Systems, Inc.",CVLT,2017Q3,2017Q3,27,14,0.5185185185185185
"Commvault Systems, Inc.",CVLT,2017Q4,2017Q4,12,8,0.6666666666666666
"Commvault Systems, Inc.",CVLT,2018Q1,2018Q1,23,16,0.6956521739130435
"Commvault Systems, Inc.",CVLT,2018Q2,2018Q2,26,12,0.46153846153846156
"Commvault Systems, Inc.",CVLT,2018Q3,2018Q3,17,7,0.4117647058823529
"Commvault Systems, Inc.",CVLT,2018Q4,2018Q4,22,9,0.4090909090909091
"Commvault Systems, Inc.",CVLT,2019Q1,2019Q1,25,11,0.44
"Commvault Systems, Inc.",CVLT,2019Q2,2019Q2,27,14,0.5185185185185185
"Commvault Systems, Inc.",CVLT,2019Q3,2019Q3,28,16,0.5714285714285714
"Commvault Systems, Inc.",CVLT,2019Q4,2019Q4,30,14,0.4666666666666667
"Commvault Systems, Inc.",CVLT,2020Q1,2020Q1,23,14,0.6086956521739131
"Commvault Systems, Inc.",CVLT,2020Q2,2020Q2,25,13,0.52
"Commvault Systems, Inc.",CVLT,2020Q3,2020Q3,35,28,0.8
"Commvault Systems, Inc.",CVLT,2020Q4,2020Q4,33,17,0.5151515151515151
"Commvault Systems, Inc.",CVLT,2021Q1,2021Q1,32,16,0.5
"Commvault Systems, Inc.",CVLT,2021Q2,2021Q2,39,22,0.5641025641025641
"Commvault Systems, Inc.",CVLT,2021Q3,2021Q3,26,14,0.5384615384615384
"Commvault Systems, Inc.",CVLT,2021Q4,2021Q4,18,12,0.6666666666666666
"Commvault Systems, Inc.",CVLT,2022Q1,2022Q1,30,18,0.6
"Commvault Systems, Inc.",CVLT,2022Q2,2022Q2,38,27,0.7105263157894737
"Commvault Systems, Inc.",CVLT,2022Q3,2022Q3,29,15,0.5172413793103449
"Commvault Systems, Inc.",CVLT,2022Q4,2022Q4,35,23,0.6571428571428571
"Commvault Systems, Inc.",CVLT,2023Q1,2023Q1,32,15,0.46875
"Commvault Systems, Inc.",CVLT,2023Q2,2023Q2,27,17,0.6296296296296297
"Commvault Systems, Inc.",CVLT,2023Q3,2023Q3,19,8,0.42105263157894735
"Commvault Systems, Inc.",CVLT,2023Q4,2023Q4,20,11,0.55
Cummins Inc.,CMI,2016Q1,2016Q1,25,5,0.2
Cummins Inc.,CMI,2016Q2,2016Q2,13,2,0.15384615384615385
Cummins Inc.,CMI,2016Q3,2016Q3,13,5,0.38461538461538464
Cummins Inc.,CMI,2016Q4,2016Q4,23,5,0.21739130434782608
Cummins Inc.,CMI,2017Q1,2017Q1,21,1,0.047619047619047616
Cummins Inc.,CMI,2017Q2,2017Q2,25,4,0.16
Cummins Inc.,CMI,2017Q3,2017Q3,23,8,0.34782608695652173
Cummins Inc.,CMI,2017Q4,2017Q4,29,6,0.20689655172413793
Cummins Inc.,CMI,2018Q1,2018Q1,17,2,0.11764705882352941
Cummins Inc.,CMI,2018Q2,2018Q2,18,5,0.2777777777777778
Cummins Inc.,CMI,2018Q3,2018Q3,24,5,0.20833333333333334
Cummins Inc.,CMI,2018Q4,2018Q4,29,5,0.1724137931034483
Cummins Inc.,CMI,2019Q1,2019Q1,16,4,0.25
Cummins Inc.,CMI,2019Q2,2019Q2,22,1,0.045454545454545456
Cummins Inc.,CMI,2019Q3,2019Q3,25,6,0.24
Cummins Inc.,CMI,2019Q4,2019Q4,22,3,0.13636363636363635
Cummins Inc.,CMI,2020Q1,2020Q1,29,1,0.034482758620689655
Cummins Inc.,CMI,2020Q2,2020Q2,25,2,0.08
Cummins Inc.,CMI,2020Q3,2020Q3,26,4,0.15384615384615385
Cummins Inc.,CMI,2020Q4,2020Q4,24,7,0.2916666666666667
Cummins Inc.,CMI,2021Q1,2021Q1,41,7,0.17073170731707318
Cummins Inc.,CMI,2021Q2,2021Q2,47,9,0.19148936170212766
Cummins Inc.,CMI,2021Q3,2021Q3,26,2,0.07692307692307693
Cummins Inc.,CMI,2021Q4,2021Q4,35,5,0.14285714285714285
Cummins Inc.,CMI,2022Q1,2022Q1,23,2,0.08695652173913043
Cummins Inc.,CMI,2022Q2,2022Q2,21,3,0.14285714285714285
Cummins Inc.,CMI,2022Q3,2022Q3,44,11,0.25
Cummins Inc.,CMI,2022Q4,2022Q4,39,5,0.1282051282051282
Cummins Inc.,CMI,2023Q1,2023Q1,32,4,0.125
Cummins Inc.,CMI,2023Q2,2023Q2,29,3,0.10344827586206896
Cummins Inc.,CMI,2023Q3,2023Q3,32,5,0.15625
Cummins Inc.,CMI,2023Q4,2023Q4,40,9,0.225
DISH Technologies L.L.C.,SATS,2018Q1,2018Q1,1,0,0.0
DISH Technologies L.L.C.,SATS,2018Q2,2018Q2,18,6,0.3333333333333333
DISH Technologies L.L.C.,SATS,2018Q3,2018Q3,30,9,0.3
DISH Technologies L.L.C.,SATS,2018Q4,2018Q4,32,7,0.21875
DISH Technologies L.L.C.,SATS,2019Q1,2019Q1,28,8,0.2857142857142857
DISH Technologies L.L.C.,SATS,2019Q2,2019Q2,29,7,0.2413793103448276
DISH Technologies L.L.C.,SATS,2019Q3,2019Q3,40,13,0.325
DISH Technologies L.L.C.,SATS,2019Q4,2019Q4,31,10,0.3225806451612903
DISH Technologies L.L.C.,SATS,2020Q1,2020Q1,26,8,0.3076923076923077
DISH Technologies L.L.C.,SATS,2020Q2,2020Q2,21,6,0.2857142857142857
DISH Technologies L.L.C.,SATS,2020Q3,2020Q3,17,7,0.4117647058823529
DISH Technologies L.L.C.,SATS,2020Q4,2020Q4,17,6,0.35294117647058826
DISH Technologies L.L.C.,SATS,2021Q1,2021Q1,14,5,0.35714285714285715
DISH Technologies L.L.C.,SATS,2021Q2,2021Q2,17,7,0.4117647058823529
DISH Technologies L.L.C.,SATS,2021Q3,2021Q3,16,2,0.125
DISH Technologies L.L.C.,SATS,2021Q4,2021Q4,14,4,0.2857142857142857
DISH Technologies L.L.C.,SATS,2022Q1,2022Q1,16,11,0.6875
DISH Technologies L.L.C.,SATS,2022Q2,2022Q2,8,4,0.5
DISH Technologies L.L.C.,SATS,2022Q3,2022Q3,19,8,0.42105263157894735
DISH Technologies L.L.C.,SATS,2022Q4,2022Q4,14,7,0.5
DISH Technologies L.L.C.,SATS,2023Q1,2023Q1,5,2,0.4
DISH Technologies L.L.C.,SATS,2023Q2,2023Q2,15,7,0.4666666666666667
DISH Technologies L.L.C.,SATS,2023Q3,2023Q3,9,1,0.1111111111111111
DISH Technologies L.L.C.,SATS,2023Q4,2023Q4,13,5,0.38461538461538464
Deere & Company,DE,2016Q1,2016Q1,51,4,0.0784313725490196
Deere & Company,DE,2016Q2,2016Q2,58,6,0.10344827586206896
Deere & Company,DE,2016Q3,2016Q3,45,6,0.13333333333333333
Deere & Company,DE,2016Q4,2016Q4,80,10,0.125
Deere & Company,DE,2017Q1,2017Q1,61,12,0.19672131147540983
Deere & Company,DE,2017Q2,2017Q2,66,5,0.07575757575757576
Deere & Company,DE,2017Q3,2017Q3,68,7,0.10294117647058823
Deere & Company,DE,2017Q4,2017Q4,72,12,0.16666666666666666
Deere & Company,DE,2018Q1,2018Q1,60,13,0.21666666666666667
Deere & Company,DE,2018Q2,2018Q2,55,9,0.16363636363636364
Deere & Company,DE,2018Q3,2018Q3,64,10,0.15625
Deere & Company,DE,2018Q4,2018Q4,53,17,0.32075471698113206
Deere & Company,DE,2019Q1,2019Q1,69,9,0.13043478260869565
Deere & Company,DE,2019Q2,2019Q2,67,15,0.22388059701492538
Deere & Company,DE,2019Q3,2019Q3,87,7,0.08045977011494253
Deere & Company,DE,2019Q4,2019Q4,107,9,0.08411214953271028
Deere & Company,DE,2020Q1,2020Q1,83,8,0.0963855421686747
Deere & Company,DE,2020Q2,2020Q2,108,19,0.17592592592592593
Deere & Company,DE,2020Q3,2020Q3,78,13,0.16666666666666666
Deere & Company,DE,2020Q4,2020Q4,136,14,0.10294117647058823
Deere & Company,DE,2021Q1,2021Q1,93,15,0.16129032258064516
Deere & Company,DE,2021Q2,2021Q2,94,12,0.1276595744680851
Deere & Company,DE,2021Q3,2021Q3,95,18,0.18947368421052632
Deere & Company,DE,2021Q4,2021Q4,95,19,0.2
Deere & Company,DE,2022Q1,2022Q1,100,22,0.22
Deere & Company,DE,2022Q2,2022Q2,93,14,0.15053763440860216
Deere & Company,DE,2022Q3,2022Q3,93,20,0.21505376344086022
Deere & Company,DE,2022Q4,2022Q4,97,20,0.20618556701030927
Deere & Company,DE,2023Q1,2023Q1,102,20,0.19607843137254902
Deere & Company,DE,2023Q2,2023Q2,105,29,0.2761904761904762
Deere & Company,DE,2023Q3,2023Q3,100,21,0.21
Deere & Company,DE,2023Q4,2023Q4,121,37,0.30578512396694213
"Dexcom, Inc.",DXCM,2016Q1,2016Q1,7,0,0.0
"Dexcom, Inc.",DXCM,2016Q2,2016Q2,12,2,0.16666666666666666
"Dexcom, Inc.",DXCM,2016Q3,2016Q3,15,1,0.06666666666666667
"Dexcom, Inc.",DXCM,2016Q4,2016Q4,11,3,0.2727272727272727
"Dexcom, Inc.",DXCM,2017Q1,2017Q1,18,3,0.16666666666666666
"Dexcom, Inc.",DXCM,2017Q2,2017Q2,9,1,0.1111111111111111
"Dexcom, Inc.",DXCM,2017Q3,2017Q3,20,4,0.2
"Dexcom, Inc.",DXCM,2017Q4,2017Q4,20,3,0.15
"Dexcom, Inc.",DXCM,2018Q1,2018Q1,6,1,0.16666666666666666
"Dexcom, Inc.",DXCM,2018Q2,2018Q2,27,7,0.25925925925925924
"Dexcom, Inc.",DXCM,2018Q3,2018Q3,10,1,0.1
"Dexcom, Inc.",DXCM,2018Q4,2018Q4,7,1,0.14285714285714285
